date,demand,attractiveness
2025-06-01,2.0,0.47619047619047616
2025-06-02,4.0,0.0
2025-06-03,4.0,0.24390243902439027
2025-06-04,4.0,0.24390243902439027
2025-06-05,4.0,-0.24390243902439027
2025-06-06,2.0,0.6451612903225806
2025-06-07,2.0,-0.9523809523809523
2025-06-08,2.0,0.9523809523809523
2025-06-09,4.0,0.24390243902439027
2025-06-10,4.0,0.7317073170731708
2025-06-11,4.0,0.19607843137254904
2025-06-12,4.0,0.24390243902439027
2025-06-13,4.0,0.0
2025-06-14,2.0,-0.47619047619047616
2025-06-15,2.0,0.9523809523809523
2025-06-16,4.0,0.0
2025-06-17,4.0,0.19607843137254904
2025-06-18,4.0,0.3921568627450981
2025-06-19,4.0,0.0
2025-06-20,2.0,-0.24390243902439027
2025-06-21,2.0,0.0
2025-06-22,2.0,0.9523809523809523
2025-06-23,4.0,0.0
2025-06-24,4.0,0.0
2025-06-25,4.0,-0.19607843137254904
2025-06-26,4.0,0.0
2025-06-27,4.0,0.0
2025-06-28,2.0,0.47619047619047616
